L0,L1,L2,Graph
0.98871344,-0.6515828,0.32031107,5
-0.1485886,-0.81949186,0.9030925,5
0.07290221,0.946282,0.12385656,7
-0.8627943,0.7872571,0.9155922,7
0.8886623,0.6335149,0.38453472,7
-0.74844396,0.07025367,0.5456488,7
-0.13836838,0.35465503,-0.04376927,7
0.19088268,-1.0,-1.0,7
-0.6175225,-0.52004284,0.7134608,7
0.03153459,-0.598982,-0.17112765,8
0.13802487,0.38751584,0.77167875,8
0.08481058,-0.8564384,0.85570097,8
0.438071,0.21639672,-0.50451124,13
-0.12722701,0.11572221,-0.21291158,17
0.19917743,0.81981647,-0.6315005,17
0.02252248,-0.019494638,0.32431287,17
-0.43089843,-0.58990926,0.26583683,17
0.37680063,0.9282353,-0.6674439,21
0.074596435,0.17411615,0.8022351,21
0.8461951,-1.0,-1.0,24
0.45624006,-1.0,0.4500455,24
-0.07310361,0.780995,-0.81448257,28
-1.0,0.22883794,0.5572525,28
-0.7497024,0.52643394,0.35273272,30
-0.8363613,0.47411424,-0.80001736,29
-0.2660816,-0.5736275,-0.98490083,33
0.052299626,-0.4347695,-0.9358384,44
0.051011786,0.74186313,0.8198458,44
0.24510783,0.64598966,0.20651484,44
-0.68192303,0.86292386,0.75315416,60
-0.080830455,1.0,-0.9002533,60
-0.3751187,0.87794673,0.05660045,60
-0.30102986,0.07552445,0.8632513,60
1.0,0.47509187,-0.11942732,60
-0.74509025,-0.23735285,-0.41674292,60
0.72723746,0.20989402,-0.35930103,60
-0.13793305,-0.27019712,-0.7235515,
0.70412296,-0.58721995,0.4221932,
-0.16557725,-0.009430885,-0.7095053,
1.0,-0.27719325,0.37885594,
0.7259351,-0.19196592,-0.89685863,
0.10395774,0.8065108,0.9202782,
0.38517594,1.0,0.30821276,
1.0,0.92038715,0.30811682,
-0.6599905,-0.36314386,-0.057706356,
0.49211413,-0.78034794,-0.19323008,
-0.3567596,0.87656546,-0.12065046,
0.050157413,-1.0,-0.9543755,
-1.0,0.431639,-0.7713148,
0.482152,0.9571098,-0.2762382,
-0.13883989,0.32322466,0.52027667,
0.5686249,-0.11463344,1.0,
-0.2168684,0.691073,0.18675378,
0.5004034,0.53299093,0.20389163,
0.11922121,0.5832636,-0.14719875,
0.052224874,0.17607777,-1.0,
-0.7031628,0.7422037,0.3763845,
0.25471532,-0.41997442,0.24520722,
-0.3036312,0.7682958,-0.996687,
1.0,0.17555079,-0.6810404,
0.8616415,0.73070246,-0.1449962,
0.050591618,0.4199451,-0.1664002,
-1.0,-0.38537848,-0.23213947,
0.3878722,-0.65910745,0.23099738,
0.40347266,0.26787066,-0.39607698,
0.14813559,0.17971358,-0.12256634,
0.6683941,-0.8664441,-0.47148657,
0.9047002,-0.95899725,1.0,
-0.7646726,-0.029636025,,
-0.25572434,-1.0,,
0.37353706,0.1628062,,
-0.34757748,-0.5880302,,
0.8970707,0.41465542,,
1.0,1.0,,
0.3664049,-0.046266317,,
-0.54745346,0.53515136,,
0.6003301,-0.40211153,,
0.6516859,0.5598904,,
-0.045133818,-0.83830756,,
-0.5994133,-0.8478856,,
-0.29687104,0.74689686,,
-0.79135185,0.7820134,,
0.10549474,-0.9115341,,
0.2202251,0.32543415,,
-1.0,-0.05743061,,
0.6877062,0.6332712,,
-0.7887473,-0.20273635,,
-0.6079006,-0.3745224,,
-0.5435556,0.4610542,,
0.2966598,-0.86109775,,
1.0,0.7322671,,
-0.9826583,0.13703728,,
-0.32641065,-0.5208647,,
0.45063102,-0.17711122,,
-0.43424004,-0.3255723,,
-0.4645344,0.9801568,,
-0.18162891,-0.23676784,,
-0.92290103,-0.5365108,,
0.088018715,0.28721848,,
0.88512766,-0.52839744,,
-0.6723654,0.009633586,,
0.43421423,0.6303209,,
-0.9851623,0.82958484,,
0.30565548,0.6284316,,
1.0,-0.098138824,,
-0.6224441,-1.0,,
0.5997697,-0.69342965,,
0.320359,0.3258338,,
-0.15890715,0.38097903,,
1.0,-0.62875974,,
0.1681039,0.15092489,,
0.57697433,-0.5787299,,
-0.908309,-0.24982682,,
0.75463027,0.722746,,
-0.4642892,0.30104864,,
-0.12246913,-0.6990286,,
0.6890656,-0.7580016,,
0.7172036,-0.43375948,,
-0.059004575,-0.09352481,,
0.80037796,-0.2786485,,
0.4677225,-0.036078453,,
